date,home_team,away_team,home_confederation,away_confederation,home_elo_pre,away_elo_pre,city,country,neutral,tournament_weight,home_score,away_score,elo_diff
2000-02-08,Mexico,Czech Republic,CONCACAF,UEFA,1916.6786911463623,1886.5650077202197,So Kon Po,Hong Kong,1,1,1.0,2.0,30.113683426142643
2000-02-10,Andorra,Azerbaijan,Unknown,Unknown,1259.6202299894364,1295.0534046733112,Attard,Malta,1,1,0.0,0.0,-35.43317468387477
2000-02-10,Cameroon,Tunisia,Unknown,CAF,1722.3880766474051,1712.8264735327914,Accra,Ghana,1,4,3.0,0.0,9.561603114613717
2000-02-10,Kuwait,Turkmenistan,Unknown,Unknown,1738.718648349092,1476.5286025678315,Kuwait City,Kuwait,0,3,6.0,1.0,262.19004578126055
2000-02-10,Malta,Albania,Unknown,Unknown,1203.1391937538117,1424.4907401382563,Attard,Malta,0,1,0.0,1.0,-221.35154638444465
2000-02-10,Nepal,Yemen,Unknown,Unknown,1053.9722542692034,1331.2638429993067,Kuwait City,Kuwait,1,3,0.0,3.0,-277.2915887301033
2000-02-10,Nigeria,South Africa,Unknown,CAF,1748.0260431333722,1750.9132729275916,Lagos,Nigeria,0,4,2.0,0.0,-2.8872297942193654
2000-02-12,Yemen,Turkmenistan,Unknown,Unknown,1343.059596750552,1467.683014345996,Kuwait City,Kuwait,1,3,0.0,1.0,-124.62341759544415
2000-02-12,United States,Haiti,CONCACAF,CONCACAF,1830.8865532479913,1509.8927703627664,Miami,United States,0,4,3.0,0.0,320.99378288522485
2000-02-12,South Africa,Tunisia,CAF,CAF,1723.6303095812782,1670.2801917954507,Accra,Ghana,1,4,2.0,2.0,53.35011778582748
2000-02-12,Nepal,Bhutan,Unknown,Unknown,1042.176500517958,1190.5111048019944,Kuwait City,Kuwait,1,3,3.0,0.0,-148.33460428403646
2000-02-12,Colombia,Jamaica,CONMEBOL,Unknown,1768.2574308838362,1656.7660270259587,Miami,United States,1,4,1.0,0.0,111.49140385787746
2000-02-13,Costa Rica,Canada,Unknown,CONCACAF,1676.3449350329977,1613.3645502945212,San Diego,United States,1,4,2.0,2.0,62.98038473847646
2000-02-13,Macau,Brunei,Unknown,Unknown,1194.6282353996712,1001.288377882169,Macau,Macau,0,3,1.0,0.0,193.3398575175022
2000-02-13,Mexico,Trinidad and Tobago,CONCACAF,Unknown,1905.8141136006811,1644.4700319947142,San Diego,United States,1,4,4.0,0.0,261.34408160596695
2000-02-13,Nigeria,Cameroon,Unknown,Unknown,1775.3090064796856,1764.934358384746,Lagos,Nigeria,0,4,2.0,2.0,10.37464809493963
2000-02-13,Singapore,Japan,Unknown,AFC,1448.8384752570648,1616.5791835350751,Macau,Macau,1,3,0.0,3.0,-167.7407082780103
2000-02-14,Turkmenistan,Nepal,Unknown,Unknown,1480.8017330835582,1091.2731688494398,Kuwait City,Kuwait,1,3,5.0,0.0,389.52856423411845
2000-02-14,Kuwait,Bhutan,Unknown,Unknown,1747.5642365709275,1141.4144364705126,Kuwait City,Kuwait,0,3,20.0,0.0,606.149800100415
2000-02-14,Haiti,Peru,CONCACAF,Unknown,1502.7700055276266,1696.2617416656008,Miami,United States,1,4,1.0,1.0,-193.49173613797416
2000-02-14,Jamaica,Honduras,Unknown,Unknown,1639.5239950804114,1666.229369820211,Miami,United States,1,4,0.0,2.0,-26.70537473979971
2000-02-15,Canada,South Korea,CONCACAF,AFC,1617.8473594154757,1754.9558063450972,Los Angeles,United States,1,4,0.0,0.0,-137.10844692962155
2000-02-15,Trinidad and Tobago,Guatemala,Unknown,Unknown,1627.429319638719,1560.3584026543504,Los Angeles,United States,1,4,4.0,2.0,67.07091698436875
2000-02-16,Bhutan,Turkmenistan,Unknown,Unknown,1138.798867967463,1488.482944712996,Kuwait City,Kuwait,1,3,0.0,8.0,-349.68407674553305
2000-02-16,Honduras,Colombia,Unknown,CONMEBOL,1700.8526236990508,1785.4994628293834,Miami,United States,1,4,2.0,0.0,-84.64683913033264
2000-02-16,Japan,Brunei,AFC,Unknown,1635.882366353973,995.0499759604264,Macau,Macau,1,3,9.0,0.0,640.8323903935467
2000-02-16,Kuwait,Yemen,Unknown,Unknown,1750.1798050739776,1329.94087801299,Kuwait City,Kuwait,0,3,2.0,0.0,420.23892706098763
2000-02-16,Macau,Singapore,Unknown,Unknown,1200.8666373214137,1429.5352924381668,Macau,Macau,0,3,0.0,1.0,-228.66865511675314
2000-02-16,United States,Peru,CONCACAF,Unknown,1838.0093180831311,1683.6196379634218,Miami,United States,0,4,1.0,0.0,154.38968011970928
2000-02-17,Mexico,Guatemala,CONCACAF,Unknown,1922.854825956676,1530.009006935163,Los Angeles,United States,1,4,1.0,1.0,392.8458190215131
2000-02-17,South Korea,Costa Rica,AFC,Unknown,1745.572189134399,1671.862125912043,Los Angeles,United States,1,4,2.0,2.0,73.71006322235598
2000-02-18,Kuwait,Nepal,Unknown,Unknown,1753.0396601136483,1083.591957220002,Kuwait City,Kuwait,0,3,5.0,0.0,669.4477028936462
2000-02-18,Yemen,Bhutan,Unknown,Unknown,1327.0810229733193,1127.6030574820754,Kuwait City,Kuwait,1,3,11.0,2.0,199.47796549124382
2000-02-19,United States,Colombia,CONCACAF,CONMEBOL,1847.3991986162785,1739.0397941528045,Miami,United States,0,4,2.0,2.0,108.359404463474
2000-02-19,Honduras,Peru,Unknown,Unknown,1747.3122923756298,1674.2297574302747,Miami,United States,1,4,3.0,5.0,73.08253494535506
2000-02-20,Costa Rica,Trinidad and Tobago,Unknown,Unknown,1677.0878234122194,1657.7787153579063,San Diego,United States,1,4,1.0,2.0,19.30910805431313
2000-02-20,Macau,Japan,Unknown,AFC,1187.9523865478543,1638.321275770165,Macau,Macau,0,3,0.0,3.0,-450.3688892223106
2000-02-20,Mexico,Canada,CONCACAF,CONCACAF,1902.573348567441,1627.230976626174,San Diego,United States,1,4,1.0,2.0,275.34237194126695
2000-02-20,Singapore,Brunei,Unknown,Unknown,1442.449543211726,992.6110665442347,Macau,Macau,1,3,1.0,0.0,449.83847666749125
2000-02-20,Thailand,Finland,Unknown,Unknown,1572.133408727424,1556.4982298162367,Bangkok,Thailand,0,1,0.0,0.0,15.635178911187268
2000-02-23,Thailand,Brazil,Unknown,CONMEBOL,1568.9228417666473,2090.432944249897,Bangkok,Thailand,0,1,0.0,7.0,-521.5101024832497
2000-02-23,Estonia,Finland,Unknown,Unknown,1340.198807886887,1559.7087967770135,Bangkok,Thailand,1,1,2.0,4.0,-219.50998889012658
2000-02-23,Colombia,Peru,CONMEBOL,Unknown,1752.4608126087278,1719.5035072205646,San Diego,United States,1,4,2.0,1.0,32.95730538816315
2000-02-24,Trinidad and Tobago,Canada,Unknown,CONCACAF,1684.1666886521043,1668.7265369737868,Los Angeles,United States,1,4,0.0,1.0,15.440151678317534
2000-02-25,Thailand,Estonia,Unknown,Unknown,1565.269694337164,1333.5881695594742,Bangkok,Thailand,0,1,2.0,1.0,231.6815247776899
2000-02-27,Canada,Colombia,CONCACAF,CONMEBOL,1694.8368143800371,1775.0964313167603,Los Angeles,United States,1,4,2.0,0.0,-80.2596169367232
2000-02-27,Thailand,Finland,Unknown,Unknown,1567.8508568827406,1566.3194351044262,Bangkok,Thailand,0,1,5.0,1.0,1.531421778314325
2000-03-04,Trinidad and Tobago,Curaçao,Unknown,CONCACAF,1658.056411245854,1332.8218970373607,Macoya,Trinidad and Tobago,0,3,5.0,0.0,325.23451420849324
2000-03-04,Honduras,Nicaragua,Unknown,Unknown,1702.03854258534,1103.1798629108396,San Pedro Sula,Honduras,0,3,3.0,0.0,598.8586796745005
2000-03-05,Anguilla,Bahamas,Unknown,Unknown,1150.7389694613255,1382.0913641058148,The Valley,Anguilla,0,3,1.0,3.0,-231.35239464448932
2000-03-05,Saint Vincent and the Grenadines,United States Virgin Islands,Unknown,Unknown,1357.6539514202395,1448.2496901739632,Kingstown,Saint Vincent and the Grenadines,0,3,9.0,0.0,-90.59573875372371
2000-03-05,Saint Lucia,Suriname,Unknown,Unknown,1484.5926672673693,1427.035119896197,Castries,Saint Lucia,0,3,1.0,0.0,57.55754737117218
2000-03-05,El Salvador,Belize,Unknown,Unknown,1439.6557210956207,1363.6618512839805,San Salvador,El Salvador,0,3,5.0,0.0,75.99386981164025
2000-03-05,Zimbabwe,Lesotho,Unknown,Unknown,1562.9912183808913,1249.6430941111275,Harare,Zimbabwe,0,2,2.0,1.0,313.34812426976373
2000-03-05,Cuba,Cayman Islands,Unknown,Unknown,1589.0165894382428,1331.5126858021945,Havana,Cuba,0,3,4.0,0.0,257.50390363604834
2000-03-05,British Virgin Islands,Bermuda,Unknown,Unknown,1264.9212399052292,1402.8116878627418,Road Town,British Virgin Islands,0,3,1.0,5.0,-137.8904479575126
2000-03-05,Barbados,Grenada,Unknown,Unknown,1452.1224263870074,1462.9929240639913,Bridgetown,Barbados,0,3,2.0,2.0,-10.87049767698386
2000-03-05,Dominican Republic,Montserrat,Unknown,Unknown,1352.045951586303,1318.6251946900084,San Cristóbal,Dominican Republic,0,3,3.0,0.0,33.42075689629473
2000-03-11,Aruba,Puerto Rico,Unknown,Unknown,1241.1898614259435,1179.972112209673,Oranjestad,Aruba,0,3,4.0,2.0,61.21774921627048
2000-03-11,Haiti,Dominica,CONCACAF,Unknown,1505.5652329254472,1356.5059781778202,Port-au-Prince,Haiti,0,3,4.0,0.0,149.05925474762694
2000-03-18,Curaçao,Trinidad and Tobago,CONCACAF,Unknown,1326.4542039668045,1664.4241043164102,Willemstad,Curaçao,0,3,1.0,1.0,-337.9699003496057
2000-03-18,Grenada,Barbados,Unknown,Unknown,1468.0139653508645,1447.1013851001344,St. George's,Grenada,0,3,2.0,3.0,20.912580250730116
2000-03-18,Puerto Rico,Aruba,Unknown,Unknown,1162.9728090090157,1258.1891646266008,San Juan,Puerto Rico,0,3,2.0,2.0,-95.21635561758512
2000-03-18,Saint Kitts and Nevis,Turks and Caicos Islands,Unknown,Unknown,1394.529730854771,1480.955850000052,Basseterre,Saint Kitts and Nevis,0,3,8.0,0.0,-86.42611914528084
2000-03-19,United States Virgin Islands,Saint Vincent and the Grenadines,Unknown,Unknown,1399.6027417339185,1406.3008998602843,Frederiksted,United States Virgin Islands,0,3,1.0,5.0,-6.698158126365797
2000-03-19,Suriname,Saint Lucia,Unknown,Unknown,1415.5303431494112,1496.0974440141551,Paramaribo,Suriname,0,3,1.0,0.0,-80.5671008647439
2000-03-19,Nicaragua,Panama,Unknown,CONCACAF,1100.7705792541483,1455.4724790059345,Diriamba,Nicaragua,0,3,0.0,2.0,-354.7018997517862
2000-03-19,Montserrat,Dominican Republic,Unknown,Unknown,1296.4418404030584,1374.2293058732532,Port of Spain,Trinidad and Tobago,1,3,1.0,3.0,-77.78746547019477
2000-03-19,Dominica,Haiti,Unknown,CONCACAF,1342.0667691922265,1520.004441911041,Roseau,Dominica,0,3,1.0,3.0,-177.9376727188146
2000-03-19,Bermuda,British Virgin Islands,Unknown,Unknown,1436.2381692394626,1231.4947585285083,Hamilton,Bermuda,0,3,9.0,0.0,204.74341071095432
2000-03-19,Belize,Guatemala,Unknown,Unknown,1342.3519958042082,1550.2904843243982,San Pedro Sula,Honduras,1,3,1.0,2.0,-207.93848852019005
2000-03-19,Bahamas,Anguilla,Unknown,Unknown,1401.2606516328435,1131.569681934297,Nassau,Bahamas,0,3,2.0,1.0,269.6909696985465
2000-03-19,Cayman Islands,Cuba,Unknown,Unknown,1323.0188798307868,1598.6887126012489,George Town,Cayman Islands,0,3,0.0,0.0,-275.6698327704621
2000-03-21,Saint Kitts and Nevis,Turks and Caicos Islands,Unknown,Unknown,1440.174907915561,1435.3106729392618,Basseterre,Saint Kitts and Nevis,0,3,6.0,0.0,4.864234976299258
2000-03-25,Malaysia,Taiwan,Unknown,Unknown,1381.2090233388562,1200.1431408948758,Kuala Lumpur,Malaysia,0,3,3.0,0.0,181.0658824439804
2000-03-25,Thailand,North Korea,Unknown,Unknown,1581.272353278139,1556.9290800642743,Kuala Lumpur,Malaysia,1,3,0.0,0.0,24.343273213864677
